country,countryCode,indicatorName,indicatorCode,wealthQuintile,slumTotal,slumCases,slumClass,otherTotal,otherCases,otherClass,total,slumEst,slumLCL,slumUCL,otherEst,otherLCL,otherUCL,totalEst,totalLCL,totalUCL
Bangladesh,BGD,Households relying on formal pit emptier,san35,Wealth Quintile 1,231,25,Low,37,4,Low,268,0.0897,0.0528,0.1322,0.0323,0,0.1431,0.0833,0.0558,0.1208
Bangladesh,BGD,Households relying on formal pit emptier,san35,Wealth Quintile 2,212,26,Low,39,2,Low,251,0.1014,0.0613,0.1527,0.05,0,0.1282,0.0894,0.0529,0.1345
Bangladesh,BGD,Households relying on formal pit emptier,san35,Wealth Quintile 3,167,16,Low,94,8,Low,261,0.0357,0.012,0.0641,0.0222,0,0.066,0.0312,0.0118,0.0562
Bangladesh,BGD,Households relying on formal pit emptier,san35,Wealth Quintile 4,61,8,Low,193,14,Low,254,0.05,0,0.1186,0.0638,0.0264,0.1033,0.0615,0.0314,0.0955
Bangladesh,BGD,Households relying on formal pit emptier,san35,Wealth Quintile 5,17,2,Low,231,27,Low,248,0.0625,0,0.2,0.0881,0.05,0.1435,0.0868,0.0449,0.1315
Bangladesh,BGD,Households relying on formal provider for service supply maintenance,water17,Wealth Quintile 1,231,80,Low,37,10,Low,268,0.3111,0.2475,0.3824,0.3333,0.1762,0.5152,0.3132,0.2554,0.379
Bangladesh,BGD,Households relying on formal provider for service supply maintenance,water17,Wealth Quintile 2,212,71,Low,39,6,Low,251,0.3251,0.2669,0.3905,0.15,0.0513,0.2632,0.2875,0.2213,0.3541
Bangladesh,BGD,Households relying on formal provider for service supply maintenance,water17,Wealth Quintile 3,167,35,Low,94,28,Low,261,0.1557,0.0997,0.2202,0.2979,0.1998,0.3933,0.2414,0.1916,0.2931
Bangladesh,BGD,Households relying on formal provider for service supply maintenance,water17,Wealth Quintile 4,61,19,Low,193,56,Low,254,0.2712,0.1638,0.4037,0.3622,0.2834,0.4362,0.3548,0.2874,0.413
Bangladesh,BGD,Households relying on formal provider for service supply maintenance,water17,Wealth Quintile 5,17,6,Low,231,102,Low,248,0.1875,0,0.4,0.4825,0.4051,0.5505,0.4656,0.3968,0.5318
Bangladesh,BGD,Households safely storing drinking water,water18,Wealth Quintile 1,231,206,High,37,32,High,268,0.9795,0.9561,0.9958,0.7297,0.5618,0.8613,0.9466,0.9166,0.9729
Bangladesh,BGD,Households safely storing drinking water,water18,Wealth Quintile 2,212,188,High,39,32,High,251,0.9254,0.8847,0.9617,0.8718,0.7433,0.9512,0.9139,0.8759,0.9496
Bangladesh,BGD,Households safely storing drinking water,water18,Wealth Quintile 3,167,151,High,94,80,High,261,0.8931,0.8395,0.9338,0.8804,0.811,0.9451,0.8851,0.8407,0.9244
Bangladesh,BGD,Households safely storing drinking water,water18,Wealth Quintile 4,61,51,High,193,171,High,254,0.9286,0.8421,0.9833,0.9251,0.8736,0.9669,0.9274,0.8902,0.9588
Bangladesh,BGD,Households safely storing drinking water,water18,Wealth Quintile 5,17,17,High,231,202,High,248,1,1,1,0.8791,0.8189,0.9269,0.8857,0.834,0.9289
Bangladesh,BGD,Households using an improved source of drinking water that is located on premises and is available when needed,jmpWater1,Wealth Quintile 1,231,47,Low,37,3,Low,268,0.2771,0.2106,0.3462,0.0857,0,0.1821,0.2566,0.1954,0.3174
Bangladesh,BGD,Households using an improved source of drinking water that is located on premises and is available when needed,jmpWater1,Wealth Quintile 2,212,40,Low,39,8,Low,251,0.1505,0.0909,0.2156,0.2564,0.1248,0.3947,0.1734,0.1216,0.2271
Bangladesh,BGD,Households using an improved source of drinking water that is located on premises and is available when needed,jmpWater1,Wealth Quintile 3,167,37,Low,94,23,Low,261,0.3293,0.2452,0.4153,0.2391,0.1505,0.334,0.2745,0.217,0.3398
Bangladesh,BGD,Households using an improved source of drinking water that is located on premises and is available when needed,jmpWater1,Wealth Quintile 4,61,11,Low,193,46,Low,254,0.2787,0.1579,0.39,0.2682,0.2021,0.3439,0.2702,0.2177,0.3402
Bangladesh,BGD,Households using an improved source of drinking water that is located on premises and is available when needed,jmpWater1,Wealth Quintile 5,17,2,Low,231,73,Low,248,0,0,0.2353,0.2748,0.2097,0.3502,0.2623,0.1966,0.327
Bangladesh,BGD,Households using an improved source of drinking water that takes 30 minutes or less to collect from,jmpWater2,Wealth Quintile 1,231,167,Moderate,37,27,Moderate,268,0.6623,0.5932,0.7337,0.8182,0.6389,0.9413,0.679,0.61,0.7463
Bangladesh,BGD,Households using an improved source of drinking water that takes 30 minutes or less to collect from,jmpWater2,Wealth Quintile 2,212,161,Moderate,39,23,Moderate,251,0.8213,0.7535,0.8841,0.6341,0.4737,0.7897,0.7791,0.7171,0.8395
Bangladesh,BGD,Households using an improved source of drinking water that takes 30 minutes or less to collect from,jmpWater2,Wealth Quintile 3,167,118,Moderate,94,62,Moderate,261,0.6235,0.5296,0.7063,0.7204,0.621,0.8153,0.684,0.6146,0.75
Bangladesh,BGD,Households using an improved source of drinking water that takes 30 minutes or less to collect from,jmpWater2,Wealth Quintile 4,61,42,Moderate,193,125,Moderate,254,0.6552,0.5352,0.7905,0.6816,0.6125,0.7501,0.68,0.6048,0.746
Bangladesh,BGD,Households using an improved source of drinking water that takes 30 minutes or less to collect from,jmpWater2,Wealth Quintile 5,17,14,High,231,143,Moderate,248,1,0.7647,1,0.7,0.6192,0.7703,0.7131,0.6408,0.7866
Bangladesh,BGD,Households using an improved source of drinking water that takes more than 30 minutes to collect from,jmpWater3,Wealth Quintile 1,231,2,Low,37,1,Low,268,0.0244,0.0043,0.0519,0,0,0.0313,0.0226,0.0038,0.0458
Bangladesh,BGD,Households using an improved source of drinking water that takes more than 30 minutes to collect from,jmpWater3,Wealth Quintile 2,212,0,Low,39,0,Low,251,0,0,0,0,0,0,0,0,0
Bangladesh,BGD,Households using an improved source of drinking water that takes more than 30 minutes to collect from,jmpWater3,Wealth Quintile 3,167,2,Low,94,0,Low,261,0,0,0.0123,0,0,0,0,0,0.004
Bangladesh,BGD,Households using an improved source of drinking water that takes more than 30 minutes to collect from,jmpWater3,Wealth Quintile 4,61,3,Low,193,0,Low,254,0.0167,0,0.068,0,0,0,0,0,0.0118
Bangladesh,BGD,Households using an improved source of drinking water that takes more than 30 minutes to collect from,jmpWater3,Wealth Quintile 5,17,0,Low,231,0,Low,248,0,0,0,0,0,0,0,0,0
Bangladesh,BGD,Households using improved sanitation facility not shared with others,jmpSan2,Wealth Quintile 1,231,2,Low,37,1,Low,268,0.0258,0.0044,0.0559,0,0,0.0625,0.0255,0.0072,0.0515
Bangladesh,BGD,Households using improved sanitation facility not shared with others,jmpSan2,Wealth Quintile 2,212,0,Low,39,2,Low,251,0,0,0,0,0,0.0526,0.0039,0,0.0123
Bangladesh,BGD,Households using improved sanitation facility not shared with others,jmpSan2,Wealth Quintile 3,167,0,Low,94,2,Low,261,0,0,0,0,0,0.0213,0,0,0.0081
Bangladesh,BGD,Households using improved sanitation facility not shared with others,jmpSan2,Wealth Quintile 4,61,1,Low,193,8,Low,254,0,0,0.0334,0.0107,0,0.0374,0.012,0,0.0334
Bangladesh,BGD,Households using improved sanitation facility not shared with others,jmpSan2,Wealth Quintile 5,17,0,Low,231,3,Low,248,0,0,0,0,0,0.0091,0,0,0.0123
Bangladesh,BGD,Households using open defecation,jmpSan5,Wealth Quintile 1,231,4,Low,37,1,Low,268,0,0,0.0134,0,0,0.0312,0,0,0.0143
Bangladesh,BGD,Households using open defecation,jmpSan5,Wealth Quintile 2,212,0,Low,39,0,Low,251,0,0,0,0,0,0,0,0,0
Bangladesh,BGD,Households using open defecation,jmpSan5,Wealth Quintile 3,167,1,Low,94,0,Low,261,0,0,0.0181,0,0,0,0,0,0.008
Bangladesh,BGD,Households using open defecation,jmpSan5,Wealth Quintile 4,61,0,Low,193,0,Low,254,0,0,0,0,0,0,0,0,0
Bangladesh,BGD,Households using open defecation,jmpSan5,Wealth Quintile 5,17,0,Low,231,0,Low,248,0,0,0,0,0,0,0,0,0
Bangladesh,BGD,Households using safely managed sanitaion facility,jmpSan1,Wealth Quintile 1,231,2,Low,37,2,Low,268,0,0,0.0085,0.0303,0,0.1212,0.0038,0,0.0154
Bangladesh,BGD,Households using safely managed sanitaion facility,jmpSan1,Wealth Quintile 2,212,5,Low,39,6,Low,251,0.032,0.0096,0.0562,0.2308,0.122,0.3684,0.0795,0.046,0.1129
Bangladesh,BGD,Households using safely managed sanitaion facility,jmpSan1,Wealth Quintile 3,167,8,Low,94,52,Moderate,261,0.0424,0.0125,0.0813,0.6067,0.4896,0.7175,0.3822,0.3133,0.4413
Bangladesh,BGD,Households using safely managed sanitaion facility,jmpSan1,Wealth Quintile 4,61,2,Low,193,145,Moderate,254,0.0164,0,0.0492,0.801,0.7395,0.8587,0.7302,0.6666,0.7977
Bangladesh,BGD,Households using safely managed sanitaion facility,jmpSan1,Wealth Quintile 5,17,1,Low,231,209,High,248,0,0,0.0667,0.9217,0.8771,0.9558,0.876,0.8291,0.918
Bangladesh,BGD,Households using shared improved sanitation facility,jmpSan3,Wealth Quintile 1,231,205,High,37,18,Low,268,0.9025,0.8512,0.9455,0.7143,0.5152,0.8788,0.8801,0.8253,0.9254
Bangladesh,BGD,Households using shared improved sanitation facility,jmpSan3,Wealth Quintile 2,212,191,High,39,25,Moderate,251,0.9091,0.8673,0.9503,0.6579,0.5,0.7949,0.8508,0.8042,0.8948
Bangladesh,BGD,Households using shared improved sanitation facility,jmpSan3,Wealth Quintile 3,167,147,High,94,32,Low,261,0.9191,0.8623,0.9573,0.3696,0.2473,0.4848,0.5889,0.5292,0.6607
Bangladesh,BGD,Households using shared improved sanitation facility,jmpSan3,Wealth Quintile 4,61,54,High,193,32,Low,254,0.9286,0.8306,1,0.173,0.1123,0.2296,0.241,0.1885,0.3096
Bangladesh,BGD,Households using shared improved sanitation facility,jmpSan3,Wealth Quintile 5,17,16,High,231,12,Low,248,1,0.9333,1,0.0644,0.0354,0.1022,0.112,0.0714,0.1607
Bangladesh,BGD,Households using surface water as source of drinking water,jmpWater5,Wealth Quintile 1,231,0,Low,37,0,Low,268,0,0,0,0,0,0,0,0,0
Bangladesh,BGD,Households using surface water as source of drinking water,jmpWater5,Wealth Quintile 2,212,0,Low,39,0,Low,251,0,0,0,0,0,0,0,0,0
Bangladesh,BGD,Households using surface water as source of drinking water,jmpWater5,Wealth Quintile 3,167,0,Low,94,0,Low,261,0,0,0,0,0,0,0,0,0
Bangladesh,BGD,Households using surface water as source of drinking water,jmpWater5,Wealth Quintile 4,61,0,Low,193,0,Low,254,0,0,0,0,0,0,0,0,0
Bangladesh,BGD,Households using surface water as source of drinking water,jmpWater5,Wealth Quintile 5,17,0,Low,231,0,Low,248,0,0,0,0,0,0,0,0,0
Bangladesh,BGD,Households using unimproved sanitation facility,jmpSan4,Wealth Quintile 1,231,14,Low,37,15,Low,268,0.0638,0.0308,0.1039,0.2286,0.0645,0.412,0.0858,0.0494,0.1298
Bangladesh,BGD,Households using unimproved sanitation facility,jmpSan4,Wealth Quintile 2,212,10,Low,39,5,Low,251,0.0566,0.0271,0.0905,0.0769,0,0.1797,0.062,0.0328,0.0939
Bangladesh,BGD,Households using unimproved sanitation facility,jmpSan4,Wealth Quintile 3,167,5,Low,94,8,Low,261,0.0241,0,0.0543,0.0213,0,0.0653,0.0233,0.0077,0.0467
Bangladesh,BGD,Households using unimproved sanitation facility,jmpSan4,Wealth Quintile 4,61,4,Low,193,8,Low,254,0.0645,0,0.15,0.0105,0,0.0311,0.0158,0,0.037
Bangladesh,BGD,Households using unimproved sanitation facility,jmpSan4,Wealth Quintile 5,17,0,Low,231,6,Low,248,0,0,0,0.0082,0,0.0255,0.0079,0,0.0243
Bangladesh,BGD,Households using unimproved source of drinking water,jmpWater4,Wealth Quintile 1,231,10,Low,37,2,Low,268,0.0086,0,0.03,0.0606,0,0.2162,0.0153,0,0.0409
Bangladesh,BGD,Households using unimproved source of drinking water,jmpWater4,Wealth Quintile 2,212,11,Low,39,7,Low,251,0.029,0.0098,0.0545,0.1026,0,0.2105,0.0455,0.0204,0.0744
Bangladesh,BGD,Households using unimproved source of drinking water,jmpWater4,Wealth Quintile 3,167,9,Low,94,6,Low,261,0.0419,0.0123,0.0793,0.0109,0,0.044,0.0241,0.0078,0.048
Bangladesh,BGD,Households using unimproved source of drinking water,jmpWater4,Wealth Quintile 4,61,4,Low,193,12,Low,254,0.0339,0,0.0925,0.0305,0.0056,0.0588,0.0292,0.0118,0.0567
Bangladesh,BGD,Households using unimproved source of drinking water,jmpWater4,Wealth Quintile 5,17,1,Low,231,8,Low,248,0,0,0.0667,0.018,0.0043,0.0437,0.0198,0.004,0.04
Bangladesh,BGD,Households whose women are comfortable using sanitation facility during menstruation,jmpWoman,Wealth Quintile 1,231,148,Moderate,37,27,Moderate,268,0.5112,0.4425,0.5916,0.7097,0.5293,0.8529,0.5354,0.4627,0.6
Bangladesh,BGD,Households whose women are comfortable using sanitation facility during menstruation,jmpWoman,Wealth Quintile 2,212,137,Moderate,39,28,Moderate,251,0.4313,0.3525,0.5137,0.7297,0.5496,0.865,0.5,0.432,0.5673
Bangladesh,BGD,Households whose women are comfortable using sanitation facility during menstruation,jmpWoman,Wealth Quintile 3,167,124,Moderate,94,83,High,261,0.5949,0.5153,0.6709,0.9043,0.8202,0.967,0.7795,0.7165,0.8348
Bangladesh,BGD,Households whose women are comfortable using sanitation facility during menstruation,jmpWoman,Wealth Quintile 4,61,45,Moderate,193,184,High,254,0.7167,0.5788,0.8387,0.9784,0.951,0.9947,0.9563,0.9256,0.9801
Bangladesh,BGD,Households whose women are comfortable using sanitation facility during menstruation,jmpWoman,Wealth Quintile 5,17,16,High,231,216,High,248,0.5333,0.2667,0.7525,0.9954,0.9853,1,0.9705,0.9493,0.9876
Bangladesh,BGD,Households whose women are using adequate hygienic menstrual hygiene materials,san28,Wealth Quintile 1,231,221,High,37,35,High,268,1,0.9862,1,1,1,1,1,0.9882,1
Bangladesh,BGD,Households whose women are using adequate hygienic menstrual hygiene materials,san28,Wealth Quintile 2,212,197,High,39,34,High,251,0.9947,0.9798,1,1,1,1,0.9956,0.9825,1
Bangladesh,BGD,Households whose women are using adequate hygienic menstrual hygiene materials,san28,Wealth Quintile 3,167,153,High,94,88,High,261,1,0.9931,1,0.9778,0.9405,1,0.9873,0.9667,1
Bangladesh,BGD,Households whose women are using adequate hygienic menstrual hygiene materials,san28,Wealth Quintile 4,61,55,High,193,177,High,254,1,0.918,1,1,1,1,1,0.9911,1
Bangladesh,BGD,Households whose women are using adequate hygienic menstrual hygiene materials,san28,Wealth Quintile 5,17,16,High,231,195,High,248,1,1,1,1,0.989,1,1,0.9858,1
Bangladesh,BGD,Households whose women practice good menstrual hygiene behaviour,jmpWomenHygiene,Wealth Quintile 1,231,218,High,37,34,High,268,0.9462,0.9078,0.9768,0.9688,0.8824,1,0.9482,0.9173,0.9732
Bangladesh,BGD,Households whose women practice good menstrual hygiene behaviour,jmpWomenHygiene,Wealth Quintile 2,212,197,High,39,34,High,251,0.9893,0.9684,1,1,0.9373,1,0.9868,0.9685,1
Bangladesh,BGD,Households whose women practice good menstrual hygiene behaviour,jmpWomenHygiene,Wealth Quintile 3,167,149,High,94,87,High,261,0.9632,0.9285,0.9871,0.954,0.9032,0.9895,0.9556,0.9277,0.9797
Bangladesh,BGD,Households whose women practice good menstrual hygiene behaviour,jmpWomenHygiene,Wealth Quintile 4,61,54,High,193,173,High,254,1,0.9322,1,0.9711,0.9397,0.9892,0.9708,0.9461,0.9914
Bangladesh,BGD,Households whose women practice good menstrual hygiene behaviour,jmpWomenHygiene,Wealth Quintile 5,17,16,High,231,190,High,248,1,1,1,0.9548,0.9257,0.9806,0.9571,0.9292,0.9816
Bangladesh,BGD,Households with access to sufficient and sustained drinking water,accessWater,Wealth Quintile 1,231,18,Low,37,2,Low,268,0.0603,0.0265,0.0982,0.0303,0,0.1431,0.0564,0.0264,0.0916
Bangladesh,BGD,Households with access to sufficient and sustained drinking water,accessWater,Wealth Quintile 2,212,9,Low,39,3,Low,251,0.0383,0.0136,0.0726,0.0732,0,0.1579,0.0456,0.0198,0.0783
Bangladesh,BGD,Households with access to sufficient and sustained drinking water,accessWater,Wealth Quintile 3,167,12,Low,94,8,Low,261,0.0122,0,0.0427,0.086,0.0224,0.1531,0.0551,0.0304,0.0859
Bangladesh,BGD,Households with access to sufficient and sustained drinking water,accessWater,Wealth Quintile 4,61,5,Low,193,34,Low,254,0.0179,0,0.0714,0.2,0.1347,0.2581,0.1855,0.1372,0.239
Bangladesh,BGD,Households with access to sufficient and sustained drinking water,accessWater,Wealth Quintile 5,17,0,Low,231,34,Low,248,0,0,0,0.1498,0.0977,0.2028,0.1429,0.0963,0.1944
Bangladesh,BGD,Households with adequate physical access to drinking water,water7a,Wealth Quintile 1,231,228,High,37,36,High,268,0.971,0.9427,0.9915,1,0.9688,1,0.9737,0.9479,0.9926
Bangladesh,BGD,Households with adequate physical access to drinking water,water7a,Wealth Quintile 2,212,211,High,39,38,High,251,0.9952,0.9813,1,0.975,0.9211,1,0.9917,0.9761,1
Bangladesh,BGD,Households with adequate physical access to drinking water,water7a,Wealth Quintile 3,167,164,High,94,94,High,261,0.9679,0.9386,0.9882,1,1,1,0.9881,0.9723,0.9962
Bangladesh,BGD,Households with adequate physical access to drinking water,water7a,Wealth Quintile 4,61,58,High,193,192,High,254,0.9828,0.9217,1,0.9947,0.9833,1,0.9921,0.9797,1
Bangladesh,BGD,Households with adequate physical access to drinking water,water7a,Wealth Quintile 5,17,17,High,231,231,High,248,1,1,1,1,1,1,1,1,1
Bangladesh,BGD,Households with adequate physical access to sanitation facilities,san13,Wealth Quintile 1,231,2159,High,37,245,High,268,8.3247,7.3375,9.5585,7.9444,6.0806,10.0109,8.3259,7.336,9.3651
Bangladesh,BGD,Households with adequate physical access to sanitation facilities,san13,Wealth Quintile 2,212,1835,High,39,291,High,251,9.6618,8.4007,10.9471,9,7.2038,11.0606,9.5407,8.4693,10.6419
Bangladesh,BGD,Households with adequate physical access to sanitation facilities,san13,Wealth Quintile 3,167,1515,High,94,554,High,261,7.4036,6.1666,8.7638,6.7312,5.1816,8.66,7.0191,5.9012,8.0891
Bangladesh,BGD,Households with adequate physical access to sanitation facilities,san13,Wealth Quintile 4,61,439,High,193,894,High,254,4.2881,2.9422,5.7683,5.3177,4.5401,6.2845,5.25,4.6731,5.9514
Bangladesh,BGD,Households with adequate physical access to sanitation facilities,san13,Wealth Quintile 5,17,115,High,231,1213,High,248,5.6667,4.2667,8.2056,5.7373,4.8993,6.4563,5.7541,5.0705,6.552
Bangladesh,BGD,Households with adequate sanitation facility,adequateSan,Wealth Quintile 1,231,209,High,37,21,Moderate,268,0.9307,0.8947,0.9627,0.7576,0.5714,0.9091,0.9073,0.8659,0.9428
Bangladesh,BGD,Households with adequate sanitation facility,adequateSan,Wealth Quintile 2,212,196,High,39,33,High,251,0.9409,0.9033,0.9707,0.9211,0.7895,0.9768,0.9331,0.9011,0.9636
Bangladesh,BGD,Households with adequate sanitation facility,adequateSan,Wealth Quintile 3,167,155,High,94,86,High,261,0.9641,0.9286,0.9937,0.9787,0.9387,1,0.9725,0.9409,0.9921
Bangladesh,BGD,Households with adequate sanitation facility,adequateSan,Wealth Quintile 4,61,57,High,193,185,High,254,0.9344,0.8361,1,0.9893,0.9679,1,0.9841,0.9635,1
Bangladesh,BGD,Households with adequate sanitation facility,adequateSan,Wealth Quintile 5,17,17,High,231,224,High,248,1,1,1,0.9911,0.9734,1,0.9918,0.9721,1
Bangladesh,BGD,Households with adequate sanitation services only,overall2,Wealth Quintile 1,231,0,NA,37,0,NA,268,0.8932,0.8468,0.9348,0.7273,0.5714,0.9032,0.8731,0.8252,0.9112
Bangladesh,BGD,Households with adequate sanitation services only,overall2,Wealth Quintile 2,212,0,NA,39,0,NA,251,0.9029,0.8511,0.9426,0.8462,0.7179,0.9487,0.8858,0.8429,0.9225
Bangladesh,BGD,Households with adequate sanitation services only,overall2,Wealth Quintile 3,167,0,NA,94,0,NA,261,0.9509,0.9107,0.9871,0.8925,0.821,0.9479,0.9167,0.8784,0.9492
Bangladesh,BGD,Households with adequate sanitation services only,overall2,Wealth Quintile 4,61,0,NA,193,0,NA,254,0.9153,0.8135,1,0.7906,0.7323,0.8482,0.8031,0.7419,0.8595
Bangladesh,BGD,Households with adequate sanitation services only,overall2,Wealth Quintile 5,17,0,NA,231,0,NA,248,1,1,1,0.8341,0.7737,0.8814,0.8471,0.7951,0.9026
Bangladesh,BGD,Households with adequate water services and adequate sanitation services,overall1,Wealth Quintile 1,231,0,NA,37,0,NA,268,0.0315,0.0127,0.0662,0.0294,0,0.0938,0.0341,0.0113,0.0632
Bangladesh,BGD,Households with adequate water services and adequate sanitation services,overall1,Wealth Quintile 2,212,0,NA,39,0,NA,251,0.0372,0.0097,0.0715,0.0769,0,0.1797,0.0447,0.0195,0.0803
Bangladesh,BGD,Households with adequate water services and adequate sanitation services,overall1,Wealth Quintile 3,167,0,NA,94,0,NA,261,0.0123,0,0.038,0.0805,0.0312,0.1524,0.0545,0.0303,0.0863
Bangladesh,BGD,Households with adequate water services and adequate sanitation services,overall1,Wealth Quintile 4,61,0,NA,193,0,NA,254,0.0179,0,0.0834,0.2,0.1383,0.2678,0.186,0.1406,0.2361
Bangladesh,BGD,Households with adequate water services and adequate sanitation services,overall1,Wealth Quintile 5,17,0,NA,231,0,NA,248,0,0,0,0.15,0.0986,0.2088,0.1445,0.102,0.2
Bangladesh,BGD,Households with adequate water services only,overall3,Wealth Quintile 1,231,0,NA,37,0,NA,268,0.0256,0.0043,0.0517,0,0,0.0606,0.0226,0.0038,0.0475
Bangladesh,BGD,Households with adequate water services only,overall3,Wealth Quintile 2,212,0,NA,39,0,NA,251,0,0,0,0,0,0,0,0,0
Bangladesh,BGD,Households with adequate water services only,overall3,Wealth Quintile 3,167,0,NA,94,0,NA,261,0,0,0,0,0,0,0,0,0
Bangladesh,BGD,Households with adequate water services only,overall3,Wealth Quintile 4,61,0,NA,193,0,NA,254,0,0,0,0,0,0.0106,0,0,0.008
Bangladesh,BGD,Households with adequate water services only,overall3,Wealth Quintile 5,17,0,NA,231,0,NA,248,0,0,0,0,0,0,0,0,0
Bangladesh,BGD,Households with appropriate / acceptable sanitation facilities,acceptSan,Wealth Quintile 1,231,4,Low,37,0,Low,268,0.0082,0,0.0254,0,0,0,0.0072,0,0.0226
Bangladesh,BGD,Households with appropriate / acceptable sanitation facilities,acceptSan,Wealth Quintile 2,212,0,Low,39,1,Low,251,0,0,0,0,0,0.0263,0,0,0.0081
Bangladesh,BGD,Households with appropriate / acceptable sanitation facilities,acceptSan,Wealth Quintile 3,167,0,Low,94,4,Low,261,0,0,0,0.022,0,0.0632,0.0154,0.0038,0.0313
Bangladesh,BGD,Households with appropriate / acceptable sanitation facilities,acceptSan,Wealth Quintile 4,61,1,Low,193,23,Low,254,0,0,0.0339,0.1344,0.0855,0.1926,0.1221,0.0826,0.1693
Bangladesh,BGD,Households with appropriate / acceptable sanitation facilities,acceptSan,Wealth Quintile 5,17,0,Low,231,46,Low,248,0,0,0,0.2273,0.1703,0.2912,0.2167,0.1547,0.2749
Bangladesh,BGD,Households with formal drinking water service provision,water2a,Wealth Quintile 1,231,177,Moderate,37,16,Low,268,0.7944,0.7309,0.8572,0.6552,0.457,0.8387,0.7792,0.7125,0.8375
