varList,varFunction,varStatistic,varNames,varShort,varDir,varSet,varTitle,varFile
san12,proportion,oneMean,Households practicing sanitary disposal of child's faeces,Sanitary disposal of child's faeces,hi,sanSet3,Sanitation Practices and Behaviours,sanitation-practices
san25,proportion,oneMean,Households relying on formal operators to maintain facility,Formal service provision,hi,sanSet4,Other Sanitation Indicators,other-sanitation-indicators
san35,proportion,oneMean,Households relying on formal pit emptier,Formal pit emptying,hi,sanSet4,Other Sanitation Indicators,other-sanitation-indicators
san28,proportion,oneMean,Households whose women are using adequate hygienic menstrual hygiene materials,Adequate menstrual hygiene materials,hi,hygieneSet,Hygiene,hygiene
jmpWomenHygiene,proportion,oneMean,Households whose women practice good menstrual hygiene behaviour,Good menstrual hygiene behaviour,hi,hygieneSet,Hygiene,hygiene
jmpWoman,proportion,oneMean,Households whose women are comfortable using sanitation facility during menstruation,Use of facility during menstruation,hi,hygieneSet,Hygiene,hygiene
jmpHand3,proportion,oneMean,Households with no handwashing facility,No handwashing facility,lo,handSet,Handwashing,handwashing
jmpHand2,proportion,oneMean,Households with handwashing facility with water only,Water only,lo,handSet,Handwashing,handwashing
jmpHand1,proportion,oneMean,Households with handwashing facility with clean water and soap,Clean water and soap,hi,handSet,Handwashing,handwashing
overall4,histogram,oneMean,Households with no adequate water services and no adequate sanitation services,No adequate services,lo,overallSet1,Overall,overall
overall3,histogram,oneMean,Households with adequate water services only,Adequate water services,hi,overallSet1,Overall,overall
overall2,histogram,oneMean,Households with adequate sanitation services only,Adequate sanitation services,hi,overallSet1,Overall,overall
overall1,histogram,oneMean,Households with adequate water services and adequate sanitation services,Adequate water and sanitation,hi,overallSet1,Overall,overall
overallSpend,histogram,oneMean,Mean household expenditure in water and sanitation services,Overall expenditure,hi,overallSet2,Overall,overall
ppi,histogram,oneMean,Mean poverty score,PPI Score,hi,poverty,Poverty Rates,poverty-rates
pQuintile,histogram,oneMean,Mean wealth index,Wealth Index,hi,poverty,Poverty Rates,poverty-rates
nl,proportion,oneMean,Mean likelihood of household being below the Bangladesh lower national poverty line,,lo,poverty,Poverty Rates,poverty-rates
nu100,proportion,oneMean,Mean likelihood of household being below 100% of the Bangladesh upper national poverty line,,lo,poverty,Poverty Rates,poverty-rates
nu150,proportion,oneMean,Mean likelihood of household being below 150% of the Bangladesh upper national poverty line,,lo,poverty,Poverty Rates,poverty-rates
nu200,proportion,oneMean,Mean likelihood of household being below 200% of the Bangladesh upper national poverty line,,lo,poverty,Poverty Rates,poverty-rates
extreme,proportion,oneMean,Mean likelihood of household being below the USAID extreme poverty line,,lo,poverty,Poverty Rates,poverty-rates
ppp125,proportion,oneMean,Mean likelihood of household being below the $1.25/day 2005 PPP poverty line,Below $1.25/day,lo,poverty,Poverty Rates,poverty-rates
ppp175,proportion,oneMean,Mean likelihood of household being below the $1.75/day 2005 PPP poverty line,,lo,poverty,Poverty Rates,poverty-rates
ppp200,proportion,oneMean,Mean likelihood of household being below the $2.00/day 2005 PPP poverty line,,lo,poverty,Poverty Rates,poverty-rates
ppp250,proportion,oneMean,Mean likelihood of household being below the $2.50/day 2005 PPP poverty line,,lo,poverty,Poverty Rates,poverty-rates
